436.1125	436.1125	436.1125	436.1125	436.1125	436.1125	436.1125	436.1125	434.7	434.7	434.7	434.7	434.7	434.7	434.7	434.7	436.1125	436.1125	436.1125	436.1125	436.1125	436.1125	436.1125	436.1125	436.1125	436.1125	436.1125	436.1125	436.1125	436.1125	436.1125	436.1125	436.1125	436.1125	434.7	434.7	434.7	434.7	434.7	434.7	434.7	434.7	434.7	434.7	434.7	434.7	434.7	434.7	434.7	434.7	434.7	434.7	372	355	340	384	327	375	327	327	372	355	340	384	327	375	325	318.5	372	372	355	355	340	340	384	384	327	327	375	375	327	327	327	327	327	327	372	372	355	355	340	340	384	384	327	327	375	375	325	325	318.5	318.5	318.5	318.5	155	155	138	138	123	123	167	167	110	110	158	158	108	108	102	102	102	147	147	147	130	130	130	115	115	115	159	159	159	102	102	102	150	150	150	100	100	100	93.5	93.5	93.5	93.5	93.5	348.1125	348.1125	348.1125	348.1125	348.1125	348.1125	348.1125	348.1125	361.3125	361.3125	361.3125	361.3125	361.3125	361.3125	361.3125	361.3125	324.9125	324.9125	324.9125	324.9125	324.9125	324.9125	324.9125	324.9125	324.9125	346.7	346.7	346.7	346.7	346.7	346.7	346.7	346.7	359.9	359.9	359.9	359.9	359.9	359.9	359.9	359.9	348.1125	348.1125	348.1125	348.1125	348.1125	348.1125	361.3125	361.3125	361.3125	361.3125	361.3125	361.3125	324.9125	324.9125	324.9125	324.9125	348.1125	348.1125	348.1125	348.1125	348.1125	348.1125	348.1125	348.1125	348.1125	348.1125	348.1125	348.1125	361.3125	361.3125	361.3125	361.3125	361.3125	361.3125	361.3125	361.3125	361.3125	361.3125	361.3125	361.3125	324.9125	324.9125	324.9125	324.9125	324.9125	324.9125	324.9125	324.9125	324.9125	324.9125	324.9125	324.9125	324.9125	324.9125	264.1125	247.1125	232.1125	276.1125	219.1125	267.1125	217.1125	211.1125	262.7	245.7	230.7	274.7	217.7	265.7	215.7	209.7	263.8	264.1125	264.1125	247.1125	247.1125	232.1125	232.1125	276.1125	276.1125	219.1125	219.1125	267.1125	267.1125	217.1125	217.1125	211.1125	211.1125	211.1125	211.1125	262.7	245.7	230.7	274.7	217.7	265.7	215.7	209.7	209.7	263.8	263.8	284	267	252	296	239	287	239	239	297.2	280.2	265.2	309.2	252.2	300.2	252.2	252.2	284	267	252	296	239	287	237	230.5	297.2	280.2	265.2	309.2	252.2	300.2	250.2	243.7	260.8	243.8	228.8	272.8	215.8	213.8	207.3	207.3	284	284	267	267	252	252	296	296	239	239	287	287	237	237	230.5	230.5	230.5	230.5	297.2	297.2	280.2	280.2	265.2	265.2	309.2	309.2	252.2	252.2	300.2	300.2	250.2	250.2	243.7	243.7	243.7	243.7	260.8	260.8	243.8	243.8	228.8	228.8	272.8	272.8	215.8	215.8	213.8	213.8	207.3	207.3	207.3	207.3
78	80	81	96	83	128	106	90	78	80	81	96	83	128	106	90	78	78	80	80	81	81	96	96	83	83	128	128	106	106	72	72	90	90	78	78	80	80	81	81	96	96	83	83	128	128	106	106	72	72	90	90	103	103	103	103	103	128	106	103	85	85	85	96	85	128	106	90	103	103	103	103	103	103	103	103	103	103	128	128	106	106	103	103	103	103	85	85	85	85	85	85	96	96	85	85	128	128	106	106	85	85	90	90	129	129	129	129	129	129	129	129	129	129	154	154	132	132	129	129	129	111	111	111	111	111	111	111	111	111	122	122	122	111	111	111	154	154	154	132	132	132	111	111	116	116	116	85	87	88	103	90	135	113	97	60	62	63	78	65	110	88	72	42	44	45	60	47	92	70	36	54	85	87	88	103	90	135	113	97	60	62	63	78	65	110	88	72	85	85	103	103	135	135	60	60	78	78	110	110	60	60	92	92	87	87	88	88	90	90	113	113	79	79	97	97	62	62	63	63	65	65	88	88	54	54	72	72	42	42	44	44	45	45	47	47	70	70	36	36	54	54	104	106	107	122	109	154	132	116	104	106	107	122	109	154	132	116	101	104	104	106	106	107	107	122	122	109	109	154	154	132	132	98	98	116	116	104	106	107	122	109	154	132	98	116	101	101	110	110	110	110	110	135	113	110	85	85	85	87	85	119	97	85	92	92	92	103	92	135	113	97	67	67	67	78	67	110	88	72	51	53	54	69	56	79	49	63	92	92	92	92	92	92	103	103	92	92	135	135	113	113	92	92	97	97	67	67	67	67	67	67	78	78	67	67	110	110	88	88	67	67	72	72	51	51	53	53	54	54	69	69	56	56	79	79	49	49	63	63
375	354	365	390	353	390	354	343	381	381	381	390	381	390	381	381	375	375	354	354	365	365	390	390	353	353	390	390	354	354	343	343	343	343	381	381	381	381	381	381	390	390	381	381	390	390	381	381	381	381	381	381	375	360	365	390	360	390	360	360	375	354	365	390	353	390	354	347	375	375	360	360	365	365	390	390	360	360	390	390	360	360	360	360	360	360	375	375	354	354	365	365	390	390	353	353	390	390	354	354	347	347	347	347	306	306	291	291	296	296	321	321	291	291	321	321	291	291	291	291	291	306	306	306	285	285	285	296	296	296	321	321	321	284	284	284	321	321	321	285	285	285	278	278	278	278	278	358	337	348	373	336	373	337	326	355	334	345	370	333	370	334	323	336	315	326	351	314	351	315	304	304	364	364	364	373	364	373	364	364	361	361	361	370	361	370	361	361	358	358	373	373	373	373	355	355	370	370	370	370	351	351	351	351	337	337	348	348	336	336	337	337	326	326	326	326	334	334	345	345	333	333	334	334	323	323	323	323	336	336	315	315	326	326	314	314	315	315	304	304	304	304	306	285	296	321	284	321	285	274	326	312	316	341	312	341	312	312	351	306	306	285	285	296	296	321	321	284	284	321	321	285	285	274	274	274	274	326	312	316	341	312	341	312	312	312	351	351	358	343	348	373	343	373	343	343	355	340	345	370	340	370	340	340	358	337	348	373	336	373	337	330	355	334	345	370	333	370	334	327	336	315	326	351	314	315	308	308	358	358	337	337	348	348	373	373	336	336	373	373	337	337	330	330	330	330	355	355	334	334	345	345	370	370	333	333	370	370	334	334	327	327	327	327	336	336	315	315	326	326	351	351	314	314	315	315	308	308	308	308
479	474	473	491	468	491	485	458	495	495	495	495	495	495	495	495	479	479	474	474	473	473	491	491	468	468	491	491	485	485	450	450	458	458	495	495	495	495	495	495	495	495	495	495	495	495	495	495	495	495	495	495	479	479	479	491	479	491	485	479	479	474	473	491	468	491	485	464	479	479	479	479	479	479	491	491	479	479	491	491	485	485	479	479	479	479	479	479	474	474	473	473	491	491	468	468	491	491	485	485	464	464	464	464	422	422	417	417	416	416	434	434	413	413	434	434	428	428	413	413	413	413	413	413	408	408	408	407	407	407	425	425	425	402	402	402	425	425	425	419	419	419	398	398	398	398	398	446	441	440	458	435	458	452	425	460	455	454	472	449	472	466	439	442	437	436	454	431	454	448	413	421	462	462	462	462	462	462	462	462	476	476	476	476	476	476	476	476	446	446	458	458	458	458	460	460	472	472	472	472	454	454	454	454	441	441	440	440	435	435	452	452	417	417	425	425	455	455	454	454	449	449	466	466	431	431	439	439	442	442	437	437	436	436	431	431	448	448	413	413	421	421	413	408	407	425	402	425	419	392	438	433	432	450	429	450	444	429	454	413	413	408	408	407	407	425	425	402	402	425	425	419	419	384	384	392	392	438	433	432	450	429	450	444	429	429	454	454	446	446	446	458	446	458	452	446	460	460	460	472	460	472	466	460	446	441	440	458	435	458	452	431	460	455	454	472	449	472	466	445	442	437	436	454	431	448	427	427	446	446	441	441	440	440	458	458	435	435	458	458	452	452	431	431	431	431	460	460	455	455	454	454	472	472	449	449	472	472	466	466	445	445	445	445	442	442	437	437	436	436	454	454	431	431	448	448	427	427	427	427
0.76267	1.28405	0.98747	1.04405	1.28031	0.76267	1.73012	2.63872	0.69255	1.21393	0.91735	0.97393	1.21019	0.69255	1.66	2.5686	0.76267	0.76267	1.28405	1.28405	0.98747	0.98747	1.04405	1.04405	1.28031	1.28031	0.76267	0.76267	1.73012	1.73012	2.69515	2.69515	2.63872	2.63872	0.69255	0.69255	1.21393	1.21393	0.91735	0.91735	0.97393	0.97393	1.21019	1.21019	0.69255	0.69255	1.66	1.66	2.62503	2.62503	2.5686	2.5686	1.44662	1.968	1.67142	1.728	1.96426	1.44662	2.41407	3.32267	1.37962	1.901	1.60442	1.661	1.89726	1.37962	2.34707	3.25567	1.44662	1.44662	1.968	1.968	1.67142	1.67142	1.728	1.728	1.96426	1.96426	1.44662	1.44662	2.41407	2.41407	3.3791	3.3791	3.32267	3.32267	1.37962	1.37962	1.901	1.901	1.60442	1.60442	1.661	1.661	1.89726	1.89726	1.37962	1.37962	2.34707	2.34707	3.3121	3.3121	3.25567	3.25567	1.65874	1.65874	1.968	1.968	1.67142	1.67142	1.728	1.728	1.96426	1.96426	1.65874	1.65874	2.41407	2.41407	3.3791	3.32267	3.32267	1.59174	1.59174	1.59174	1.901	1.901	1.901	1.60442	1.60442	1.60442	1.661	1.661	1.661	1.89726	1.89726	1.89726	1.59174	1.59174	1.59174	2.34707	2.34707	2.34707	3.3121	3.3121	3.25567	3.25567	3.25567	1.48205	1.53	1.48205	1.48205	1.52626	1.48205	1.97607	2.88467	0.69705	1.28405	0.98747	1.04405	1.28031	0.66605	1.73012	2.63872	0.69705	1.28405	0.98747	1.04405	1.28031	0.6426	1.73012	2.69515	2.63872	1.41193	1.53	1.41193	1.41193	1.52626	1.41193	1.97607	2.88467	0.62693	1.21393	0.91735	0.97393	1.21019	0.59593	1.66	2.5686	1.48205	1.48205	1.48205	1.48205	1.48205	1.48205	0.69705	0.69705	1.04405	1.04405	0.66605	0.66605	1.04405	1.04405	0.6426	0.6426	1.53	1.53	1.48205	1.48205	1.52626	1.52626	1.97607	1.97607	2.9411	2.9411	2.88467	2.88467	1.28405	1.28405	0.98747	0.98747	1.28031	1.28031	1.73012	1.73012	2.69515	2.69515	2.63872	2.63872	0.69705	0.69705	1.28405	1.28405	0.98747	0.98747	1.28031	1.28031	1.73012	1.73012	2.69515	2.69515	2.63872	2.63872	0.97479	1.28405	0.98747	1.04405	1.28031	0.97479	1.73012	2.63872	0.90467	1.21393	0.91735	0.97393	1.21019	0.90467	1.66	2.5686	1.25955	0.97479	0.97479	1.28405	1.28405	0.98747	0.98747	1.04405	1.04405	1.28031	1.28031	0.97479	0.97479	1.73012	1.73012	2.69515	2.69515	2.63872	2.63872	0.90467	1.21393	0.91735	0.97393	1.21019	0.90467	1.66	2.62503	2.5686	1.25955	1.25955	2.166	2.166	2.166	2.166	2.166	2.166	2.41407	3.32267	1.381	1.968	1.67142	1.728	1.96426	1.35	2.41407	3.32267	2.099	2.099	2.099	2.099	2.099	2.099	2.34707	3.25567	1.314	1.901	1.60442	1.661	1.89726	1.283	2.34707	3.25567	1.314	1.901	1.60442	1.661	1.89726	2.34707	3.3121	3.25567	2.099	2.099	2.099	2.099	2.099	2.099	2.099	2.099	2.099	2.099	2.099	2.099	2.34707	2.34707	3.3121	3.3121	3.25567	3.25567	1.314	1.314	1.901	1.901	1.60442	1.60442	1.661	1.661	1.89726	1.89726	1.283	1.283	2.34707	2.34707	3.3121	3.3121	3.25567	3.25567	1.314	1.314	1.901	1.901	1.60442	1.60442	1.661	1.661	1.89726	1.89726	2.34707	2.34707	3.3121	3.3121	3.25567	3.25567
2.52	2.64	2.53	2.31	2.86	2.28	2.94	3.53	2.47	2.59	2.48	2.26	2.81	2.23	2.89	3.48	2.52	2.52	2.64	2.64	2.53	2.53	2.31	2.31	2.86	2.86	2.28	2.28	2.94	2.94	3.56	3.56	3.53	3.53	2.47	2.47	2.59	2.59	2.48	2.48	2.26	2.26	2.81	2.81	2.23	2.23	2.89	2.89	3.51	3.51	3.48	3.48	3.47	3.59	3.48	3.26	3.81	3.23	3.89	4.48	3.44	3.56	3.45	3.23	3.78	3.2	3.86	4.45	3.47	3.47	3.59	3.59	3.48	3.48	3.26	3.26	3.81	3.81	3.23	3.23	3.89	3.89	4.51	4.51	4.48	4.48	3.44	3.44	3.56	3.56	3.45	3.45	3.23	3.23	3.78	3.78	3.2	3.2	3.86	3.86	4.48	4.48	4.45	4.45	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.73	3.81	3.81	3.73	3.73	3.89	3.89	4.51	4.48	4.48	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.7	3.78	3.78	3.78	3.7	3.7	3.7	3.86	3.86	3.86	4.48	4.48	4.45	4.45	4.45	2.52	2.64	2.53	2.31	2.86	2.28	2.94	3.53	2.52	2.64	2.53	2.31	2.86	2.28	2.94	3.53	2.54	2.66	2.55	2.33	2.88	2.3	2.96	3.58	3.55	2.47	2.59	2.48	2.26	2.81	2.23	2.89	3.48	2.49	2.61	2.5	2.28	2.83	2.25	2.91	3.5	2.52	2.52	2.31	2.31	2.28	2.28	2.52	2.52	2.31	2.31	2.28	2.28	2.33	2.33	2.3	2.3	2.64	2.64	2.53	2.53	2.86	2.86	2.94	2.94	3.56	3.56	3.53	3.53	2.64	2.64	2.53	2.53	2.86	2.86	2.94	2.94	3.56	3.56	3.53	3.53	2.54	2.54	2.66	2.66	2.55	2.55	2.88	2.88	2.96	2.96	3.58	3.58	3.55	3.55	3.34	3.46	3.35	3.13	3.68	3.1	3.76	4.35	3.34	3.46	3.35	3.13	3.68	3.1	3.76	4.35	3.2	3.34	3.34	3.46	3.46	3.35	3.35	3.13	3.13	3.68	3.68	3.1	3.1	3.76	3.76	4.38	4.38	4.35	4.35	3.34	3.46	3.35	3.13	3.68	3.1	3.76	4.38	4.35	3.2	3.2	3.47	3.59	3.48	3.26	3.81	3.23	3.89	4.48	3.47	3.59	3.48	3.26	3.81	3.23	3.89	4.48	3.44	3.56	3.45	3.23	3.78	3.2	3.86	4.45	3.44	3.56	3.45	3.23	3.78	3.2	3.86	4.45	3.44	3.56	3.45	3.23	3.78	3.86	4.48	4.45	3.44	3.44	3.56	3.56	3.45	3.45	3.23	3.23	3.78	3.78	3.2	3.2	3.86	3.86	4.48	4.48	4.45	4.45	3.44	3.44	3.56	3.56	3.45	3.45	3.23	3.23	3.78	3.78	3.2	3.2	3.86	3.86	4.48	4.48	4.45	4.45	3.44	3.44	3.56	3.56	3.45	3.45	3.23	3.23	3.78	3.78	3.86	3.86	4.48	4.48	4.45	4.45
6	8	9	6	11	6	16	18	6	8	9	6	11	6	16	18	6	6	8	8	9	9	6	6	11	11	6	6	16	16	18	18	18	18	6	6	8	8	9	9	6	6	11	11	6	6	16	16	18	18	18	18	15	17	18	15	20	15	25	27	15	17	18	15	20	15	25	27	15	15	17	17	18	18	15	15	20	20	15	15	25	25	27	27	27	27	15	15	17	17	18	18	15	15	20	20	15	15	25	25	27	27	27	27	25	25	25	25	25	25	25	25	25	25	25	25	28	28	30	30	30	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	25	28	28	28	30	30	30	30	30	7	9	10	7	12	7	17	19	6	8	9	6	11	6	16	18	6	8	9	6	11	6	16	18	18	7	9	10	7	12	7	17	19	6	8	9	6	11	6	16	18	7	7	7	7	7	7	6	6	6	6	6	6	6	6	6	6	9	9	10	10	12	12	17	17	19	19	19	19	8	8	9	9	11	11	16	16	18	18	18	18	6	6	8	8	9	9	11	11	16	16	18	18	18	18	18	20	21	18	23	18	28	30	18	20	21	18	23	18	28	30	15	18	18	20	20	21	21	18	18	23	23	18	18	28	28	30	30	30	30	18	20	21	18	23	18	28	30	30	15	15	15	17	18	15	20	15	25	27	15	17	18	15	20	15	25	27	15	17	18	15	20	15	25	27	15	17	18	15	20	15	25	27	15	17	18	15	20	25	27	27	15	15	17	17	18	18	15	15	20	20	15	15	25	25	27	27	27	27	15	15	17	17	18	18	15	15	20	20	15	15	25	25	27	27	27	27	15	15	17	17	18	18	15	15	20	20	25	25	27	27	27	27
12.21983	12.15822	12.82573	12.02561	13.27272	12.21678	12.73563	15.1441	12.03978	11.97817	12.64568	11.84556	13.09267	12.03673	12.55558	14.96405	12.21983	12.21983	12.15822	12.15822	12.82573	12.82573	12.02561	12.02561	13.27272	13.27272	12.21678	12.21678	12.73563	12.73563	15.75171	15.75171	15.1441	15.1441	12.03978	12.03978	11.97817	11.97817	12.64568	12.64568	11.84556	11.84556	13.09267	13.09267	12.03673	12.03673	12.55558	12.55558	15.57166	15.57166	14.96405	14.96405	14.40435	14.34274	15.01025	14.21013	15.45724	14.4013	14.92015	17.32862	14.5545	14.49289	15.1604	14.36028	15.60739	14.55145	15.0703	17.47877	14.40435	14.40435	14.34274	14.34274	15.01025	15.01025	14.21013	14.21013	15.45724	15.45724	14.4013	14.4013	14.92015	14.92015	17.93623	17.93623	17.32862	17.32862	14.5545	14.5545	14.49289	14.49289	15.1604	15.1604	14.36028	14.36028	15.60739	15.60739	14.55145	14.55145	15.0703	15.0703	18.08638	18.08638	17.47877	17.47877	14.99291	14.99291	14.99291	14.99291	15.01025	15.01025	14.99291	14.99291	15.45724	15.45724	14.99291	14.99291	14.99291	14.99291	17.93623	17.32862	17.32862	15.14306	15.14306	15.14306	15.14306	15.14306	15.14306	15.1604	15.1604	15.1604	15.14306	15.14306	15.14306	15.60739	15.60739	15.60739	15.14306	15.14306	15.14306	15.14306	15.14306	15.14306	18.08638	18.08638	17.47877	17.47877	17.47877	12.4985	12.43689	13.1044	12.30428	13.55139	12.49545	13.0143	15.42277	12.52299	12.46138	13.12889	12.32877	13.57588	12.51994	13.03879	15.44726	12.94128	12.87967	13.54718	12.74706	13.99417	12.93823	13.45708	16.47316	15.86555	12.4985	12.43689	13.1044	12.30428	13.55139	12.49545	13.0143	15.42277	12.52299	12.46138	13.12889	12.32877	13.57588	12.51994	13.03879	15.44726	12.4985	12.4985	12.30428	12.30428	12.49545	12.49545	12.52299	12.52299	12.32877	12.32877	12.51994	12.51994	12.74706	12.74706	12.93823	12.93823	12.43689	12.43689	13.1044	13.1044	13.55139	13.55139	13.0143	13.0143	16.03038	16.03038	15.42277	15.42277	12.46138	12.46138	13.12889	13.12889	13.57588	13.57588	13.03879	13.03879	16.05487	16.05487	15.44726	15.44726	12.94128	12.94128	12.87967	12.87967	13.54718	13.54718	13.99417	13.99417	13.45708	13.45708	16.47316	16.47316	15.86555	15.86555	14.2448	14.18319	14.8507	14.05058	15.29769	14.24175	14.7606	17.16907	14.2448	14.18319	14.8507	14.05058	15.29769	14.24175	14.7606	17.16907	14.55145	14.2448	14.2448	14.18319	14.18319	14.8507	14.8507	14.05058	14.05058	15.29769	15.29769	14.24175	14.24175	14.7606	14.7606	17.77668	17.77668	17.16907	17.16907	14.2448	14.18319	14.8507	14.05058	15.29769	14.24175	14.7606	17.77668	17.16907	14.55145	14.55145	14.40435	14.34274	15.01025	14.21013	15.45724	14.4013	14.92015	17.32862	14.40435	14.34274	15.01025	14.21013	15.45724	14.4013	14.92015	17.32862	14.5545	14.49289	15.1604	14.36028	15.60739	14.55145	15.0703	17.47877	14.5545	14.49289	15.1604	14.36028	15.60739	14.55145	15.0703	17.47877	14.5545	14.49289	15.1604	14.36028	15.60739	15.0703	18.08638	17.47877	14.5545	14.5545	14.49289	14.49289	15.1604	15.1604	14.36028	14.36028	15.60739	15.60739	14.55145	14.55145	15.0703	15.0703	18.08638	18.08638	17.47877	17.47877	14.5545	14.5545	14.49289	14.49289	15.1604	15.1604	14.36028	14.36028	15.60739	15.60739	14.55145	14.55145	15.0703	15.0703	18.08638	18.08638	17.47877	17.47877	14.5545	14.5545	14.49289	14.49289	15.1604	15.1604	14.36028	14.36028	15.60739	15.60739	15.0703	15.0703	18.08638	18.08638	17.47877	17.47877
6	8	9	6	11	6	6	8	6	8	9	6	11	6	6	8	6	6	8	8	9	9	6	6	11	11	6	6	6	6	8	8	8	8	6	6	8	8	9	9	6	6	11	11	6	6	6	6	8	8	8	8	15	17	18	15	20	15	15	17	15	17	18	15	20	15	15	17	15	15	17	17	18	18	15	15	20	20	15	15	15	15	17	17	17	17	15	15	17	17	18	18	15	15	20	20	15	15	15	15	17	17	17	17	15	15	17	17	18	18	15	15	20	20	15	15	15	15	17	17	17	15	15	15	17	17	17	18	18	18	15	15	15	20	20	20	15	15	15	15	15	15	17	17	17	17	17	6	8	9	6	11	6	6	8	6	8	9	6	11	6	6	8	6	8	9	6	11	6	6	8	8	6	8	9	6	11	6	6	8	6	8	9	6	11	6	6	8	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	8	8	9	9	11	11	6	6	8	8	8	8	8	8	9	9	11	11	6	6	8	8	8	8	6	6	8	8	9	9	11	11	6	6	8	8	8	8	8	10	11	8	13	8	8	10	8	10	11	8	13	8	8	10	15	8	8	10	10	11	11	8	8	13	13	8	8	8	8	10	10	10	10	8	10	11	8	13	8	8	10	10	15	15	15	17	18	15	20	15	15	17	15	17	18	15	20	15	15	17	15	17	18	15	20	15	15	17	15	17	18	15	20	15	15	17	15	17	18	15	20	15	17	17	15	15	17	17	18	18	15	15	20	20	15	15	15	15	17	17	17	17	15	15	17	17	18	18	15	15	20	20	15	15	15	15	17	17	17	17	15	15	17	17	18	18	15	15	20	20	15	15	17	17	17	17
264.1125	247.1125	232.1125	276.1125	219.1125	267.1125	217.1125	193.0125	262.7	245.7	230.7	274.7	217.7	265.7	215.7	191.6	264.1125	264.1125	247.1125	247.1125	232.1125	232.1125	276.1125	276.1125	219.1125	219.1125	267.1125	267.1125	217.1125	217.1125	183.5125	183.5125	193.0125	193.0125	262.7	262.7	245.7	245.7	230.7	230.7	274.7	274.7	217.7	217.7	265.7	265.7	215.7	215.7	182.1	182.1	191.6	191.6	155	138	123	167	110	158	108	83.9	146.5	129.5	114.5	158.5	101.5	149.5	99.5	75.4	155	155	138	138	123	123	167	167	110	110	158	158	108	108	74.4	74.4	83.9	83.9	146.5	146.5	129.5	129.5	114.5	114.5	158.5	158.5	101.5	101.5	149.5	149.5	99.5	99.5	65.9	65.9	75.4	75.4	102	102	102	102	102	102	102	102	102	102	102	102	100	100	66.4	75.9	75.9	93.5	93.5	93.5	93.5	93.5	93.5	93.5	93.5	93.5	93.5	93.5	93.5	93.5	93.5	93.5	93.5	93.5	93.5	93.5	93.5	93.5	65.9	65.9	75.4	75.4	75.4	264.1125	247.1125	232.1125	276.1125	219.1125	267.1125	217.1125	193.0125	264.1125	247.1125	232.1125	276.1125	219.1125	267.1125	217.1125	193.0125	260.8	243.8	228.8	272.8	215.8	263.8	213.8	180.2	189.7	262.7	245.7	230.7	274.7	217.7	265.7	215.7	191.6	262.7	245.7	230.7	274.7	217.7	265.7	215.7	191.6	264.1125	264.1125	276.1125	276.1125	267.1125	267.1125	264.1125	264.1125	276.1125	276.1125	267.1125	267.1125	272.8	272.8	263.8	263.8	247.1125	247.1125	232.1125	232.1125	219.1125	219.1125	217.1125	217.1125	183.5125	183.5125	193.0125	193.0125	247.1125	247.1125	232.1125	232.1125	219.1125	219.1125	217.1125	217.1125	183.5125	183.5125	193.0125	193.0125	260.8	260.8	243.8	243.8	228.8	228.8	215.8	215.8	213.8	213.8	180.2	180.2	189.7	189.7	147	130	115	159	102	150	100	75.9	147	130	115	159	102	150	100	75.9	149.5	147	147	130	130	115	115	159	159	102	102	150	150	100	100	66.4	66.4	75.9	75.9	147	130	115	159	102	150	100	66.4	75.9	149.5	149.5	155	138	123	167	110	158	108	83.9	155	138	123	167	110	158	108	83.9	146.5	129.5	114.5	158.5	101.5	149.5	99.5	75.4	146.5	129.5	114.5	158.5	101.5	149.5	99.5	75.4	146.5	129.5	114.5	158.5	101.5	99.5	65.9	75.4	146.5	146.5	129.5	129.5	114.5	114.5	158.5	158.5	101.5	101.5	149.5	149.5	99.5	99.5	65.9	65.9	75.4	75.4	146.5	146.5	129.5	129.5	114.5	114.5	158.5	158.5	101.5	101.5	149.5	149.5	99.5	99.5	65.9	65.9	75.4	75.4	146.5	146.5	129.5	129.5	114.5	114.5	158.5	158.5	101.5	101.5	99.5	99.5	65.9	65.9	75.4	75.4
