436.1125	78	375	479	0.76267	2.52	6	12.21983	6	264.1125	25	288	393	0.22362	1.87	3	10.60337	3	172	53	87	86	0.53905	0.65	3	1.61646	3	64.1125	19	32	29	0.06562	0.09	1	0.18005	1	277.3	64	281	420	2.07916	4.98	20	20.44617	10	105.3	11	194	334	1.54011	4.33	17	18.82971	7	266.7	48	149	116	1.38211	2.55	15	8.40639	5	94.7	5	62	30	0.84306	1.9	12	6.78993	2
436.1125	80	354	474	1.28405	2.64	8	12.15822	8	247.1125	27	267	388	0.76267	1.87	3	10.60337	3	189	53	87	86	0.52138	0.77	5	1.55485	5	81.1125	21	11	24	0.04795	0.09	1	0.18005	1	277.3	64	281	420	2.12711	5.1	22	20.38456	12	88.3	11	194	334	1.60573	4.33	17	18.82971	7	266.7	48	149	116	1.31649	2.55	15	8.40639	5	77.7	5	62	30	0.79511	1.78	10	6.85154	0
436.1125	81	365	473	0.98747	2.53	9	12.82573	9	232.1125	28	278	387	0.51404	1.87	3	10.60337	3	204	53	87	86	0.47343	0.66	6	2.22236	6	96.1125	22	22	23	0.2248	0.09	1	0.18005	1	277.3	64	281	420	2.07916	4.99	23	21.05207	13	73.3	11	194	334	1.60573	4.33	17	18.82971	7	266.7	48	149	116	1.31649	2.55	15	8.40639	5	62.7	5	62	30	0.84306	1.89	9	6.18403	1
436.1125	96	390	491	1.04405	2.31	6	12.02561	6	276.1125	43	303	405	0.57062	1.87	3	10.60337	3	160	53	87	86	0.47343	0.44	3	1.42224	3	52.1125	16	40	41	0.19205	0.09	1	0.18005	1	277.3	64	281	420	2.07916	4.77	20	20.25195	10	117.3	11	194	334	1.60573	4.33	17	18.82971	7	266.7	48	149	116	1.31649	2.55	15	8.40639	5	106.7	5	62	30	0.84306	2.11	12	6.98415	2
436.1125	83	353	468	1.28031	2.86	11	13.27272	11	219.1125	30	266	382	0.76267	1.87	3	10.60337	3	217	53	87	86	0.51764	0.99	8	2.66935	8	107.8875	24	10	18	0.04421	0.09	1	0.18005	1	277.3	64	281	420	2.12337	5.32	25	21.49906	15	60.3	11	194	334	1.60573	4.33	17	18.82971	7	266.7	48	149	116	1.31649	2.55	15	8.40639	5	49.7	5	62	30	0.79885	1.56	7	5.73704	3
436.1125	128	390	491	0.76267	2.28	6	12.21678	6	267.1125	59	303	405	0.15862	1.87	3	10.60337	3	169	69	87	86	0.60405	0.41	3	1.61341	3	61.1125	16	40	41	0.13062	0.09	1	0.18005	1	277.3	80	281	420	2.07916	4.74	20	20.44312	10	108.3	11	194	334	1.47511	4.33	17	18.82971	7	266.7	64	149	116	1.44711	2.55	15	8.40639	5	97.7	5	62	30	0.84306	2.14	12	6.79298	2
436.1125	106	354	485	1.73012	2.94	16	12.73563	6	217.1125	53	267	399	0.76267	1.87	3	10.60337	3	219	53	87	86	0.96745	1.07	13	2.13226	3	107.8875	6	11	35	0.47343	0.09	1	0.18005	1	277.3	64	281	420	2.57318	5.4	30	20.96197	10	58.3	11	194	334	1.60573	4.33	17	18.82971	7	266.7	48	149	116	1.31649	2.55	15	8.40639	5	47.7	5	62	30	0.34904	1.48	2	6.27413	2
436.1125	90	343	458	2.63872	3.53	18	15.1441	8	193.0125	37	248	372	0.76267	1.87	3	10.60337	3	243.1	53	95	86	1.87605	1.66	15	4.54073	5	107.8875	22	8	8	0.47343	0.09	1	0.18005	1	277.3	64	281	420	3.48178	5.99	32	23.37044	12	34.2	11	186	334	1.60573	4.33	17	18.82971	7	266.7	48	149	116	1.31649	2.55	15	8.40639	5	23.6	5	54	30	0.55956	0.89	0	3.86566	0
434.7	78	381	495	0.69255	2.47	6	12.03978	6	262.7	33	326	438	0.22362	1.82	3	10.35074	3	172	45	55	57	0.46893	0.65	3	1.68904	3	62.7	11	6	16	0.06562	0.04	1	0.07258	1	277.3	64	281	420	2.00904	4.98	20	20.44617	10	105.3	19	226	363	1.54011	4.33	17	18.75713	7	266.7	48	149	116	1.38211	2.55	15	8.47897	5	94.7	3	94	59	0.91318	1.9	12	6.78993	2
434.7	80	381	495	1.21393	2.59	8	11.97817	8	245.7	35	305	433	0.69255	1.82	3	10.35074	3	189	45	76	62	0.52138	0.77	5	1.62743	5	79.7	13	27	21	0.11807	0.04	1	0.07258	1	277.3	64	281	420	2.12711	5.1	22	20.38456	12	88.3	19	205	358	1.60573	4.33	17	18.75713	7	266.7	48	149	116	1.31649	2.55	15	8.47897	5	77.7	3	73	54	0.79511	1.78	10	6.85154	0
